  Title : 6-trpl-0,96uw-20s-n2
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-22
  Time : 21:53:01
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
2.491907 ,   32
2.495978 ,   32
2.500050 ,   24
2.504122 ,   34
2.508193 ,   24
2.512265 ,   37
2.516337 ,   40
2.520409 ,   36
2.524480 ,   32
2.528552 ,   44
2.532624 ,   36
2.536696 ,   35
2.540767 ,   32
2.544839 ,   45
2.548911 ,   23
2.552983 ,   32
2.557054 ,   35
2.561126 ,   39
2.565198 ,   28
2.569270 ,   29
2.573341 ,   33
2.577413 ,   32
2.581485 ,   29
2.585557 ,   39
2.589628 ,   41
2.593700 ,   34
2.597772 ,   34
2.601844 ,   30
2.605915 ,   29
2.609987 ,   37
2.614059 ,   38
2.618131 ,   36
2.622202 ,   40
2.626274 ,   43
2.630346 ,   37
2.634417 ,   37
2.638489 ,   42
2.642561 ,   31
2.646633 ,   30
2.650704 ,   35
2.654776 ,   40
2.658848 ,   34
2.662920 ,   32
2.666991 ,   26
2.671063 ,   37
2.675135 ,   28
2.679207 ,   45
2.683278 ,   32
2.687350 ,   42
2.691422 ,   37
2.695494 ,   43
2.699565 ,   31
2.703637 ,   40
2.707709 ,   46
2.711781 ,   31
2.715852 ,   41
2.719924 ,   32
2.723996 ,   27
2.728068 ,   27
2.732139 ,   24
2.736211 ,   32
2.740283 ,   33
2.744355 ,   32
2.748426 ,   40
2.752498 ,   30
2.756570 ,   37
2.760642 ,   41
2.764713 ,   34
2.768785 ,   38
2.772857 ,   32
2.776928 ,   33
2.781000 ,   40
2.785072 ,   34
2.789144 ,   38
2.793215 ,   31
2.797287 ,   35
2.801359 ,   30
2.805431 ,   39
2.809502 ,   32
2.813574 ,   28
2.817646 ,   31
2.821718 ,   39
2.825789 ,   31
2.829861 ,   29
2.833933 ,   28
2.838005 ,   35
2.842076 ,   42
2.846148 ,   27
2.850220 ,   27
2.854292 ,   28
2.858363 ,   23
2.862435 ,   29
2.866507 ,   40
2.870579 ,   25
2.874650 ,   26
2.878722 ,   36
2.882794 ,   44
2.886866 ,   44
2.890937 ,   25
2.895009 ,   29
2.899081 ,   34
2.903153 ,   34
2.907224 ,   30
2.911296 ,   30
2.915368 ,   35
2.919439 ,   42
2.923511 ,   38
2.927583 ,   31
2.931655 ,   40
2.935726 ,   34
2.939798 ,   27
2.943870 ,   37
2.947942 ,   34
2.952013 ,   23
2.956085 ,   30
2.960157 ,   32
2.964229 ,   36
2.968300 ,   30
2.972372 ,   28
2.976444 ,   23
2.980516 ,   37
2.984587 ,   29
2.988659 ,   39
2.992731 ,   32
2.996803 ,   34
3.000874 ,   27
3.004946 ,   38
3.009018 ,   41
3.013090 ,   23
3.017161 ,   29
3.021233 ,   25
3.025305 ,   38
3.029377 ,   40
3.033448 ,   32
3.037520 ,   44
3.041592 ,   41
3.045664 ,   59
3.049735 ,   58
3.053807 ,   71
3.057879 ,   69
3.061950 ,   95
3.066022 ,  110
3.070094 ,  123
3.074166 ,  124
3.078237 ,  127
3.082309 ,  143
3.086381 ,  133
3.090453 ,  152
3.094524 ,  164
3.098596 ,  166
3.102668 ,  157
3.106740 ,  171
3.110811 ,  148
3.114883 ,  155
3.118955 ,  182
3.123027 ,  185
3.127098 ,  146
3.131170 ,  187
3.135242 ,  175
3.139314 ,  176
3.143385 ,  176
3.147457 ,  177
3.151529 ,  168
3.155601 ,  158
3.159672 ,  154
3.163744 ,  182
3.167816 ,  186
3.171888 ,  177
3.175959 ,  161
3.180031 ,  194
3.184103 ,  191
3.188174 ,  185
3.192246 ,  175
3.196318 ,  167
3.200390 ,  160
3.204461 ,  178
3.208533 ,  160
3.212605 ,  199
3.216677 ,  199
3.220748 ,  158
3.224820 ,  164
3.228892 ,  168
3.232964 ,  150
3.237035 ,  146
3.241107 ,  171
3.245179 ,  176
3.249251 ,  165
3.253322 ,  156
3.257394 ,  153
3.261466 ,  184
3.265538 ,  181
3.269609 ,  186
3.273681 ,  169
3.277753 ,  159
3.281825 ,  169
3.285896 ,  188
3.289968 ,  171
3.294040 ,  152
3.298112 ,  143
3.302183 ,  152
3.306255 ,  164
3.310327 ,  168
3.314399 ,  170
3.318470 ,  157
3.322542 ,  153
3.326614 ,  148
3.330685 ,  184
3.334757 ,  157
3.338829 ,  152
3.342901 ,  176
3.346972 ,  167
3.351044 ,  166
3.355116 ,  144
3.359188 ,  144
3.363259 ,  194
3.367331 ,  171
3.371403 ,  151
3.375475 ,  178
3.379546 ,  159
3.383618 ,  165
3.387690 ,  180
3.391762 ,  165
3.395833 ,  158
3.399905 ,  183
3.403977 ,  147
3.408049 ,  155
3.412120 ,  153
3.416192 ,  170
3.420264 ,  179
3.424336 ,  166
3.428407 ,  155
3.432479 ,  195
3.436551 ,  177
3.440623 ,  159
3.444694 ,  166
3.448766 ,  157
3.452838 ,  157
3.456910 ,  158
3.460981 ,  186
3.465053 ,  148
3.469125 ,  161
3.473196 ,  166
3.477268 ,  163
3.481340 ,  168
3.485412 ,  157
3.489483 ,  177
3.493555 ,  151
3.497627 ,  163
3.501699 ,  169
3.505770 ,  165
3.509842 ,  168
3.513914 ,  171
3.517986 ,  153
3.522057 ,  171
3.526129 ,  169
3.530201 ,  145
3.534273 ,  162
3.538344 ,  150
3.542416 ,  168
3.546488 ,  168
3.550560 ,  158
3.554631 ,  156
3.558703 ,  165
3.562775 ,  139
3.566847 ,  163
3.570918 ,  164
3.574990 ,  160
3.579062 ,  156
3.583134 ,  162
3.587205 ,  164
3.591277 ,  148
3.595349 ,  164
3.599421 ,  155
3.603492 ,  165
3.607564 ,  183
3.611636 ,  157
3.615707 ,  169
3.619779 ,  148
3.623851 ,  167
3.627923 ,  154
3.631994 ,  158
3.636066 ,  163
3.640138 ,  168
3.644210 ,  153
3.648281 ,  147
3.652353 ,  166
3.656425 ,  158
3.660497 ,  175
3.664568 ,  156
3.668640 ,  195
3.672712 ,  148
3.676784 ,  158
3.680855 ,  190
3.684927 ,  172
3.688999 ,  145
3.693071 ,  167
3.697142 ,  154
3.701214 ,  161
3.705286 ,  160
3.709358 ,  185
3.713429 ,  169
3.717501 ,  153
3.721573 ,  140
3.725645 ,  169
3.729716 ,  175
3.733788 ,  171
3.737860 ,  177
3.741931 ,  159
3.746003 ,  151
3.750075 ,  158
3.754147 ,  152
3.758218 ,  158
3.762290 ,  168
3.766362 ,  156
3.770434 ,  166
3.774505 ,  177
3.778577 ,  182
3.782649 ,  146
3.786721 ,  166
3.790792 ,  157
3.794864 ,  169
3.798936 ,  166
3.803008 ,  162
3.807079 ,  162
3.811151 ,  165
3.815223 ,  172
3.819295 ,  155
3.823366 ,  156
3.827438 ,  162
3.831510 ,  173
3.835582 ,  144
3.839653 ,  159
3.843725 ,  142
3.847797 ,  162
3.851869 ,  146
3.855940 ,  160
3.860012 ,  161
3.864084 ,  156
3.868156 ,  156
3.872227 ,  147
3.876299 ,  154
3.880371 ,  161
3.884442 ,  158
3.888514 ,  181
3.892586 ,  170
3.896658 ,  135
3.900729 ,  154
3.904801 ,  176
3.908873 ,  158
3.912945 ,  144
3.917016 ,  144
3.921088 ,  147
3.925160 ,  143
3.929232 ,  155
3.933303 ,  161
3.937375 ,  122
3.941447 ,  161
3.945519 ,  160
3.949590 ,  155
3.953662 ,  148
3.957734 ,  150
3.961806 ,  176
3.965877 ,  156
3.969949 ,  144
3.974021 ,  171
3.978093 ,  127
3.982164 ,  158
3.986236 ,  158
3.990308 ,  160
3.994380 ,  158
3.998451 ,  149
4.002523 ,  149
4.006595 ,  156
4.010667 ,  139
4.014738 ,  159
4.018810 ,  166
4.022882 ,  179
4.026953 ,  162
4.031025 ,  142
4.035097 ,  170
4.039169 ,  143
4.043240 ,  135
4.047312 ,  161
4.051384 ,  165
4.055456 ,  163
4.059527 ,  145
4.063599 ,  141
4.067671 ,  164
4.071743 ,  155
4.075814 ,  164
4.079886 ,  161
4.083958 ,  140
4.088030 ,  171
4.092101 ,  176
4.096173 ,  143
4.100245 ,  145
4.104317 ,  135
4.108388 ,  141
4.112460 ,  162
4.116532 ,  139
4.120604 ,  136
4.124675 ,  153
4.128747 ,  170
4.132819 ,  141
4.136891 ,  140
4.140962 ,  165
4.145034 ,  142
4.149106 ,  134
4.153178 ,  155
4.157249 ,  129
4.161321 ,  156
4.165393 ,  170
4.169464 ,  146
4.173536 ,  143
4.177608 ,  139
4.181680 ,  147
4.185751 ,  139
4.189823 ,  157
4.193895 ,  141
4.197967 ,  142
4.202038 ,  162
4.206110 ,  146
4.210182 ,  165
4.214254 ,  157
4.218325 ,  148
4.222397 ,  155
4.226469 ,  127
4.230541 ,  154
4.234612 ,  155
4.238684 ,  130
4.242756 ,  157
4.246828 ,  140
4.250899 ,  159
4.254971 ,  164
4.259043 ,  152
4.263115 ,  140
4.267186 ,  150
4.271258 ,  163
4.275330 ,  155
4.279402 ,  163
4.283473 ,  153
4.287545 ,  175
4.291617 ,  155
4.295688 ,  159
4.299760 ,  150
4.303832 ,  147
4.307904 ,  161
4.311975 ,  145
4.316047 ,  148
4.320119 ,  146
4.324191 ,  125
4.328262 ,  142
4.332334 ,  153
4.336406 ,  153
4.340478 ,  150
4.344549 ,  164
4.348621 ,  165
4.352693 ,  153
4.356765 ,  151
4.360836 ,  130
4.364908 ,  145
4.368980 ,  145
4.373052 ,  140
4.377123 ,  142
4.381195 ,  162
4.385267 ,  147
4.389339 ,  133
4.393410 ,  137
4.397482 ,  132
4.401554 ,  167
4.405626 ,  163
4.409697 ,  153
4.413769 ,  139
4.417841 ,  161
4.421913 ,  156
4.425984 ,  139
4.430056 ,  158
4.434128 ,  155
4.438199 ,  150
4.442271 ,  153
4.446343 ,  135
4.450415 ,  166
4.454486 ,  174
4.458558 ,  141
4.462630 ,  160
4.466702 ,  158
4.470773 ,  151
4.474845 ,  156
4.478917 ,  135
4.482989 ,  122
4.487060 ,  139
4.491132 ,  150
4.495204 ,  143
4.499276 ,  136
4.503347 ,  152
4.507419 ,  135
4.511491 ,  162
4.515563 ,  152
4.519634 ,  140
4.523706 ,  140
4.527778 ,  154
4.531850 ,  157
4.535921 ,  143
4.539993 ,  174
4.544065 ,  151
4.548137 ,  148
4.552208 ,  143
4.556280 ,  138
4.560352 ,  129
4.564424 ,  154
4.568495 ,  145
4.572567 ,  146
4.576639 ,  149
4.580710 ,  127
4.584782 ,  167
4.588854 ,  143
4.592926 ,  149
4.596997 ,  149
4.601069 ,  145
4.605141 ,  145
4.609213 ,  140
4.613284 ,  162
4.617356 ,  158
4.621428 ,  127
4.625500 ,  151
4.629571 ,  147
4.633643 ,  154
4.637715 ,  144
4.641787 ,  148
4.645858 ,  133
4.649930 ,  136
4.654002 ,  129
4.658074 ,  144
4.662145 ,  134
4.666217 ,  155
4.670289 ,  146
4.674361 ,  139
4.678432 ,  134
4.682504 ,  148
4.686576 ,  159
4.690648 ,  126
4.694719 ,  153
4.698791 ,  143
4.702863 ,  135
4.706935 ,  146
4.711006 ,  148
4.715078 ,  156
4.719150 ,  113
4.723221 ,  141
4.727293 ,  152
4.731365 ,  134
4.735437 ,  157
4.739508 ,  167
4.743580 ,  131
4.747652 ,  148
4.751724 ,  139
4.755795 ,  159
4.759867 ,  143
4.763939 ,  138
4.768011 ,  141
4.772082 ,  146
4.776154 ,  145
4.780226 ,  153
4.784298 ,  165
4.788369 ,  142
4.792441 ,  115
4.796513 ,  139
4.800585 ,  152
4.804656 ,  157
4.808728 ,  143
4.812800 ,  146
4.816872 ,  138
4.820943 ,  142
4.825015 ,  113
4.829087 ,  123
4.833159 ,  145
4.837230 ,  128
4.841302 ,  133
4.845374 ,  129
4.849446 ,  126
4.853517 ,  146
4.857589 ,  119
4.861661 ,  140
4.865732 ,  147
4.869804 ,  128
4.873876 ,  137
4.877948 ,  120
4.882019 ,  137
4.886091 ,  140
4.890163 ,  164
4.894235 ,  135
4.898306 ,  161
4.902378 ,  155
4.906450 ,  140
4.910522 ,  156
4.914593 ,  130
4.918665 ,  140
4.922737 ,  142
4.926809 ,  145
4.930880 ,  140
4.934952 ,  155
4.939024 ,  144
4.943096 ,  138
4.947167 ,  155
4.951239 ,  138
4.955311 ,  142
4.959383 ,  141
4.963454 ,  114
4.967526 ,  157
4.971598 ,  163
4.975670 ,  135
4.979741 ,  141
4.983813 ,  135
4.987885 ,  135
4.991956 ,  164
4.996028 ,  130
5.000100 ,  146
5.004172 ,  139
5.008243 ,  125
5.012315 ,  148
5.016387 ,  138
5.020459 ,  136
5.024530 ,  143
5.028602 ,  117
5.032674 ,  118
5.036746 ,  126
5.040817 ,  146
5.044889 ,  136
5.048961 ,  125
5.053033 ,  155
5.057104 ,  128
5.061176 ,  129
5.065248 ,  147
5.069320 ,  129
5.073391 ,  148
5.077463 ,  135
5.081535 ,  146
5.085607 ,  138
5.089678 ,  134
5.093750 ,  130
5.097822 ,  141
5.101894 ,  145
5.105965 ,  175
5.110037 ,  139
5.114109 ,  158
5.118181 ,  134
5.122252 ,  141
5.126324 ,  130
5.130396 ,  147
5.134467 ,  112
5.138539 ,  126
5.142611 ,  143
5.146683 ,  149
5.150754 ,  137
5.154826 ,  139
5.158898 ,  145
5.162970 ,  105
5.167041 ,  134
5.171113 ,  135
5.175185 ,  121
5.179257 ,  134
5.183328 ,  146
5.187400 ,  116
5.191472 ,  128
5.195544 ,  128
5.199615 ,  134
5.203687 ,  110
5.207759 ,  110
5.211831 ,  134
5.215902 ,  128
5.219974 ,  137
5.224046 ,  120
5.228118 ,  129
5.232189 ,  117
5.236261 ,  143
5.240333 ,  123
5.244405 ,  136
5.248476 ,  147
5.252548 ,  132
5.256620 ,  137
5.260692 ,  138
5.264763 ,  147
5.268835 ,  130
5.272907 ,  143
5.276978 ,  136
5.281050 ,  120
5.285122 ,  116
5.289194 ,  129
5.293265 ,  114
5.297337 ,  127
5.301409 ,  129
5.305481 ,   99
5.309552 ,  136
5.313624 ,  126
5.317696 ,  135
5.321768 ,  113
5.325839 ,  123
5.329911 ,  130
5.333983 ,  129
5.338055 ,  124
5.342126 ,  133
5.346198 ,  137
