time (ns),FitRates_Biexp_data,FitRates_Biexp_sims
1.4375,0.07567707625441382,0.051513252273358144
1.45,0.0735793317867499,0.051263476355549044
1.4625,0.07453274654046946,0.05101831177318407
1.4749999999999999,0.0690391415327316,0.05077737105710052
1.4875,0.0779313675200548,0.05054030716652368
1.5,0.07379556096553051,0.05030680922575892
1.5125,0.06875226947667928,0.05007659871067124
1.525,0.06507106964715022,0.049849426037497764
1.5375,0.06553697894399525,0.0496250675115455
1.5499999999999998,0.06301581100611141,0.04940332259780486
1.5625,0.0685111074837927,0.04918401147951588
1.575,0.060223096394802125,0.048966972874306416
1.5875000000000001,0.06691575487667134,0.04875206208072802
1.5999999999999999,0.07072083243014186,0.04853914923088125
1.6124999999999998,0.06226973780909777,0.04832811772738723
1.625,0.06412553841862463,0.04811886284525629
1.6375,0.06959042902544374,0.047911290481256405
