time (ns),FitRates_Biexp_data,FitRates_Biexp_sims
1.4375,0.07567707625441382,0.054008299130642846
1.45,0.0735793317867499,0.053463554072932656
1.4625,0.07453274654046946,0.05294719189270475
1.4749999999999999,0.0690391415327316,0.052457336546935476
1.4875,0.0779313675200548,0.05199223732915371
1.5,0.07379556096553051,0.05155026049229774
1.5125,0.06875226947667928,0.051129881431485995
1.525,0.06507106964715022,0.0507296773892783
1.5375,0.06553697894399525,0.050348320648504724
1.5499999999999998,0.06301581100611141,0.04998457218007422
1.5625,0.0685111074837927,0.049637275715352855
1.575,0.060223096394802125,0.04930535221473396
1.5875000000000001,0.06691575487667134,0.04898779470591964
1.5999999999999999,0.07072083243014186,0.04868366346720255
1.6124999999999998,0.06226973780909777,0.04839208153268865
1.625,0.06412553841862463,0.04811223049794331
1.6375,0.06959042902544374,0.04784334660598047
