time (ns),n=1_data,n=1_sims,n=1_1x,n=1_1e,n=1_1h,n=1_2x,n=1_2e,n=1_2h
0.15,0.0013530443734676312,217338646931.35834,14.01084897070255,2742.6346080416592,2742.6346080416592,908.8979182766941,9958.846779097898,9958.846779097898
0.16249999999999998,0.0018185683035038113,217071797045.0291,8.580426399685615,2688.1737108462726,2688.1737108462726,761.7746513003624,10092.84049972433,10092.84049972433
0.175,0.001713139955559584,216805438418.10718,5.25476488643715,2634.634942596971,2634.634942596971,638.071351721876,10202.543257001773,10202.543257001773
0.18749999999999997,0.0014010833574101232,216539569845.29614,3.218086459286517,2582.4610880592363,2582.4610880592363,534.2147542369484,10291.826363404649,10291.826363404649
0.19999999999999996,0.0018254939399168593,216274190124.99432,1.9707980629490898,2531.8757505922918,2531.8757505922918,447.1150170910211,10363.971381610561,10363.971381610561
0.21249999999999997,0.0017614304212292614,216009298059.28082,1.2069424032146787,2482.972265337108,2482.972265337108,374.1260188467759,10421.749633006475,10421.749633006475
0.22499999999999995,0.001372157557003396,215744892453.9026,0.739147248043167,2435.7676597991267,2435.7676597991267,312.99685679022923,10467.495268408633,10467.495268408633
0.23749999999999993,0.001501017419243557,215480972118.26047,0.45266340202698957,2390.235305168393,2390.235305168393,261.8219187783196,10503.17041573302,10503.17041573302
0.24999999999999994,0.0014146816996564414,215217535865.39615,0.2772169633007703,2346.3245882086994,2346.3245882086994,218.99339421510095,10530.422142835529,10530.422142835529
0.26249999999999996,0.002369518616371765,214954582511.97855,0.16977127905100348,2303.972686414115,2303.972686414115,183.15804893922726,10550.631618312851,10550.631618312851
0.27499999999999997,0.0016830560458255613,214692110878.29044,0.10397014254622854,2263.1115462992793,2263.1115462992793,153.1789278063333,10564.956159754041,10564.956159754041
0.2875,0.0016474105180431498,214430119788.21567,0.06367266949691505,2223.671954443134,2223.671954443134,128.1020120586883,10574.364972824167,10574.364972824167
0.3,0.002053570232227199,214168608069.22556,0.03899397213061184,2185.585852435852,2185.585852435852,107.12753080305376,10579.66939228489,10579.66939228489
0.31249999999999994,0.0018073642690818877,213907574552.36584,0.023880416425709983,2148.7875963869324,2148.7875963869324,89.58547715344845,10581.548388789652,10581.548388789652
0.32499999999999996,0.0015681688788350544,213647018072.2437,0.014624678059346275,2113.214586909116,2113.214586909116,74.9148319456865,10580.570032776684,10580.570032776684
0.33749999999999997,0.0015838087697558957,213386937467.01486,0.008956343328638813,2078.8075279927925,2078.8075279927925,62.646005086733425,10577.209525884566,10577.209525884566
0.35,0.001331583331386328,213127331578.3702,0.0054849813100117314,2045.5104711198424,2045.5104711198424,52.38603937012532,10571.864330219269,10571.864330219269
0.3625,0.0018250725686790599,212868199251.52335,0.003359073995631467,2013.2707388197523,2013.2707388197523,43.80616828984519,10564.866851174977,10564.866851174977
0.37499999999999994,0.001344167844193603,213210888957.62985,0.0020571406665565134,1982.0387840740145,1982.0387840740145,36.63136923229107,10556.495062404152,10556.495062404152
0.38749999999999996,0.0016165186250576783,218281311127.21454,0.0012598197382683858,1951.7680190255035,1951.7680190255035,30.631601719796887,10546.981402524265,10546.981402524265
0.3999999999999999,0.0018256920225052803,245443118625.3771,0.0007715300167525137,1922.4146325496388,1922.4146325496388,25.61446481156703,10536.520222025223,10536.520222025223
0.4124999999999999,0.002220607303104621,328166694118.9736,0.00047249503136719646,1893.9374078558785,1893.9374078558785,21.41904740205938,10525.27401499561,10525.27401499561
0.42499999999999993,0.0028636033650410206,477585842599.8989,0.00028936211141387274,1866.2975462531776,1866.2975462531776,17.910779817676456,10513.37863294616,10513.37863294616
0.4374999999999999,0.004713571741514719,643605768024.6667,0.00017720912594491162,1839.4585002152373,1839.4585002152373,14.977125026150011,10500.94764636871,10500.94764636871
0.4499999999999999,0.006644073210554459,767882714506.868,0.00010852517686133392,1813.385817118227,1813.385817118227,12.523973356373116,10488.07599295427,10488.07599295427
0.4624999999999999,0.007135300094742815,846171921963.3405,6.646223184039125e-05,1788.0469940063817,1788.0469940063817,10.472626368163336,10474.843028896174,10474.843028896174
0.47499999999999987,0.008909644781609981,902315334183.6405,4.0702336443551246e-05,1763.4113431719877,1763.4113431719877,8.757273905588436,10461.315080793613,10461.315080793613
0.4874999999999999,0.008143609327170119,950784631900.558,2.492664098224312e-05,1739.4498680349743,1739.4498680349743,7.322883879580134,10447.54757979689,10447.54757979689
0.4999999999999999,0.00952514898682141,995180382713.5658,1.52653996047464e-05,1716.135148664067,1716.135148664067,6.1234373769666615,10433.586846324393,10433.586846324393
