  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
1.746778 ,   93
1.750849 ,   94
1.754921 ,   93
1.758993 ,  116
1.763065 ,  100
1.767136 ,   98
1.771208 ,   99
1.775280 ,   74
1.779352 ,  111
1.783423 ,   87
1.787495 ,   82
1.791567 ,   94
1.795639 ,  104
1.799710 ,   90
1.803782 ,   98
1.807854 ,  113
1.811925 ,   91
1.815997 ,  104
1.820069 ,  115
1.824141 ,   97
1.828212 ,   99
1.832284 ,   91
1.836356 ,   70
1.840428 ,   96
1.844499 ,   96
1.848571 ,  114
1.852643 ,   97
1.856715 ,  112
1.860786 ,  109
1.864858 ,   88
1.868930 ,   95
1.873002 ,   72
1.877073 ,   97
1.881145 ,  106
1.885217 ,   95
1.889289 ,  105
1.893360 ,   94
1.897432 ,   85
1.901504 ,   89
1.905576 ,   81
1.909647 ,   80
1.913719 ,  101
1.917791 ,   98
1.921863 ,   97
1.925934 ,  105
1.930006 ,  119
1.934078 ,  108
1.938150 ,   88
1.942221 ,  103
1.946293 ,  101
1.950365 ,  101
1.954436 ,   83
1.958508 ,   97
1.962580 ,  104
1.966652 ,   96
1.970723 ,   81
1.974795 ,  109
1.978867 ,  102
1.982939 ,   93
1.987010 ,   94
1.991082 ,   99
1.995154 ,   83
1.999226 ,  109
2.003297 ,   90
2.007369 ,   93
2.011441 ,  105
2.015513 ,   93
2.019584 ,   91
2.023656 ,  108
2.027728 ,  108
2.031800 ,   78
2.035871 ,   98
2.039943 ,   99
2.044015 ,   97
2.048087 ,  105
2.052158 ,   93
2.056230 ,  104
2.060302 ,  102
2.064374 ,  109
2.068445 ,   97
2.072517 ,  102
2.076589 ,  110
2.080660 ,   84
2.084732 ,   89
2.088804 ,  100
2.092876 ,  105
2.096947 ,   98
2.101019 ,   88
2.105091 ,   92
2.109163 ,  103
2.113234 ,   90
2.117306 ,   82
2.121378 ,  100
2.125450 ,  101
2.129521 ,   98
2.133593 ,   94
2.137665 ,  116
2.141737 ,   92
2.145808 ,   95
2.149880 ,   94
2.153952 ,   96
2.158024 ,   97
2.162095 ,   94
2.166167 ,  103
2.170239 ,   99
2.174311 ,  101
2.178382 ,  103
2.182454 ,  126
2.186526 ,  121
2.190598 ,   98
2.194669 ,   95
2.198741 ,   85
2.202813 ,   89
2.206885 ,   89
2.210956 ,  109
2.215028 ,   99
2.219100 ,   92
2.223171 ,   91
2.227243 ,  105
2.231315 ,   86
2.235387 ,   96
2.239458 ,   91
2.243530 ,   94
2.247602 ,   90
2.251674 ,   96
2.255745 ,   96
2.259817 ,   74
2.263889 ,  107
2.267961 ,  108
2.272032 ,   88
2.276104 ,   84
2.280176 ,   99
2.284248 ,   87
2.288319 ,  106
2.292391 ,  126
2.296463 ,   90
2.300535 ,   98
2.304606 ,   98
2.308678 ,  106
2.312750 ,   82
2.316822 ,  104
2.320893 ,   93
2.324965 ,  102
2.329037 ,  113
2.333109 ,   92
2.337180 ,   93
2.341252 ,   97
2.345324 ,   90
2.349396 ,  104
2.353467 ,  100
2.357539 ,   83
2.361611 ,   88
2.365682 ,   95
2.369754 ,   98
2.373826 ,  106
2.377898 ,   89
2.381969 ,   98
2.386041 ,  101
2.390113 ,   88
2.394185 ,   98
2.398256 ,   84
2.402328 ,   91
2.406400 ,  104
2.410472 ,   86
2.414543 ,   87
2.418615 ,   94
2.422687 ,  107
2.426759 ,   92
2.430830 ,   87
2.434902 ,   95
2.438974 ,   88
2.443046 ,  102
2.447117 ,   98
2.451189 ,   96
2.455261 ,   96
2.459333 ,  102
2.463404 ,   86
2.467476 ,   89
2.471548 ,   82
